Step,TrueX,TrueY,EstX,EstY
0,1.00,0.50,-0.50,0.38
1,2.00,1.00,0.14,1.12
2,3.00,1.50,1.74,0.71
3,4.00,2.00,2.57,1.79
4,5.00,2.50,4.43,1.74
5,6.00,3.00,4.56,2.22
6,7.00,3.50,6.20,1.78
7,8.00,4.00,6.71,1.03
8,9.00,4.50,7.04,1.98
9,10.00,5.00,7.81,1.83
10,11.00,5.50,10.38,2.64
11,12.00,6.00,10.43,2.01
12,13.00,6.50,10.73,3.01
13,14.00,7.00,12.43,3.64
14,15.00,7.50,13.92,3.96
15,16.00,8.00,14.29,4.33
16,17.00,8.50,15.55,3.95
17,18.00,9.00,15.89,4.72
18,19.00,9.50,18.01,5.36
19,20.00,10.00,19.05,4.60
20,21.00,10.50,20.77,5.70
21,22.00,11.00,22.30,6.35
22,23.00,11.50,22.73,5.03
23,24.00,12.00,23.29,5.47
24,25.00,12.50,24.87,5.67
25,26.00,13.00,25.99,7.19
26,27.00,13.50,27.49,7.75
27,28.00,14.00,27.97,6.78
28,29.00,14.50,28.02,6.84
29,30.00,15.00,29.69,6.55
